amfi_code,ann_return_pct,sharpe_ratio,scheme_name,fund_house,category,sharpe_rank
148567,31.0516,1.7298,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1
120843,31.3184,1.5622,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,2
148569,32.7241,1.4838,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,3
120505,33.975,1.4242,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,4
119551,25.9768,1.4174,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,5
149323,30.4432,1.3492,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,6
100033,31.2539,1.3072,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,7
118632,24.3516,1.2617,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,8
101206,23.9311,1.1965,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,9
120504,23.6591,1.1946,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,10
119094,29.5109,1.1857,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,11
149324,35.0874,1.1509,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,12
119598,35.3203,1.1464,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,13
119552,21.8723,1.1028,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,14
148568,23.1007,1.0759,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,15
120507,6.9765,0.9648,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,16
102885,18.5104,0.9356,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,17
120503,19.2119,0.9156,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,18
125497,19.5705,0.891,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,19
118635,16.3315,0.7573,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,20
120506,17.7948,0.7416,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,21
118633,16.7965,0.7356,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,22
102887,17.6535,0.7078,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,23
120841,14.0553,0.5612,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,24
149322,14.0621,0.5268,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,25
118634,19.4979,0.5149,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,26
125498,12.7656,0.3414,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,27
120844,6.6664,0.3242,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,28
101207,11.2867,0.1855,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,29
119093,8.6662,0.1549,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,30
120842,8.1758,0.0936,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,31
119092,7.1742,0.0483,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,32
119599,5.2035,-0.052,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,33
119095,4.7024,-0.0717,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,34
119120,5.7603,-0.1865,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,35
100016,3.6325,-0.1971,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,36
102886,2.8058,-0.2037,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,37
118636,5.2093,-0.3239,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,38
101208,6.2753,-0.4438,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,39
100025,4.3781,-0.5433,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,40
